# table_s2.tsv -- generated by walkthrough/kit/build_table_s2.py
# DO NOT HAND-EDIT. Regenerate with: python3 walkthrough/kit/build_table_s2.py > walkthrough/kit/table_s2.tsv
# The paper's procedure table (manuscript Table S2), one row per plugin_EML_StatsGraphs/REGISTRY.tsv row. The row count is whatever the registry currently holds -- not asserted here; see this script's own docstring.
registry_name	kind	description
emlRunTwoGroupAnalysis	analysis	Two-group comparison — Student/Welch t-test or Mann-Whitney U, with Cohen's d or rank-biserial r.
emlRunAnovaAnalysis	analysis	One-way ANOVA with an optional Tukey HSD post-hoc; recorded through the bespoke @emlRecordAnova.
emlRunKruskalWallisAnalysis	analysis	Kruskal-Wallis H test with an optional Dunn's post-hoc and a chosen p-adjustment method.
emlRunPairwiseAnalysis	analysis	All-pairs comparisons across 3+ groups by t-test or Mann-Whitney, with a p-adjustment method.
emlRunTwoWayAnalysis	analysis	Two-way ANOVA (Type III sums of squares) for one numeric column crossed by two factors.
emlRunPairedAnalysis	analysis	Paired comparison of two columns — paired t-test or Wilcoxon signed-rank.
emlRunCorrelationAnalysis	analysis	Correlation between two numeric columns — Pearson r or Spearman rho — with its significance test.
emlRunDescriptiveAnalysis	analysis	Descriptive statistics (mean, SD, quartiles and more) for one numeric column.
emlRunRegressionAnalysis	analysis	OLS simple linear regression of one dependent column on one predictor.
emlRunGroupedRegressionAnalysis	analysis	Per-group OLS regression fits reported beside the overall fit, one line per group. No recorder hook exists for this call — see report.
emlRunNormalityAnalysis	analysis	Normality test for one numeric column — Shapiro-Wilk and/or skewness/kurtosis — with a plain-language recommendation.
emlRunRepeatedMeasuresAnalysis	analysis	Parametric repeated-measures ANOVA (wide format) with Greenhouse-Geisser correction and an optional post-hoc. .subjectCol$ is reserved and currently unread.
emlRunFriedmanAnalysis	analysis	Friedman test — nonparametric repeated measures, wide format — with an optional post-hoc.
