anova	0	1	recorded
twogroup	1	2	recorded
kw	2	3	recorded
descriptive	3	4	recorded
normality	4	5	recorded
correlation	5	6	recorded
regression	6	7	recorded
pairwise	7	8	recorded
twoway	8	9	recorded
paired	9	10	recorded
reliability	10	11	recorded
rm	11	12	recorded
friedman	12	13	recorded
violin	13	14	recorded
scatter	14	15	recorded
histogram	15	16	recorded
timeseries	16	17	recorded
timeseriesci	17	18	recorded
spaghetti	18	19	recorded
barchart	19	20	recorded
boxplot	20	21	recorded
gviolin	21	22	recorded
gbox	22	23	recorded
waveform	23	24	recorded
f0contour	24	25	recorded
spectrum	25	26	recorded
ltas	26	27	recorded
sound2f0	27	29	recorded
sound2spectrum	29	31	recorded
sound2ltas	31	33	recorded
spectrum2ltas	33	35	recorded
spectrum2sound	35	37	recorded
spectrum2f0	37	39	recorded
tor2table	39	41	recorded
matrix2table	41	43	recorded
bridge	43	44	recorded
