setting	variant	key	value
emlGroupSortAlphabetical	0	res.error	
emlGroupSortAlphabetical	0	res.omnibus	Welch t: t(10.0) = 12.25, p < .001, d = 7.07
emlGroupSortAlphabetical	0	res.labels	Zebra|Alpha
emlGroupSortAlphabetical	0	res.nGroups	2.000000
emlGroupSortAlphabetical	0	res.p.Zebra-Alpha	0.0000002
emlGroupSortAlphabetical	0	res.absd.Zebra-Alpha	7.071068
emlGroupSortAlphabetical	0	obs.signedd.Zebra-Alpha	7.071068
emlGroupSortAlphabetical	0	dis.label.Zebra-Alpha	*** (p < .001), d = 7.07
emlGroupSortAlphabetical	0	res.posthoc	Comparison: Welch t-test
emlGroupSortAlphabetical	0	res.adjust	one comparison; no adjustment applied
emlGroupSortAlphabetical	0	dis.bracketN	1.000000
emlGroupSortAlphabetical	0	dis.matrixN	0
emlGroupSortAlphabetical	1	res.error	
emlGroupSortAlphabetical	1	res.omnibus	Welch t: t(10.0) = -12.25, p < .001, d = -7.07
emlGroupSortAlphabetical	1	res.labels	Alpha|Zebra
emlGroupSortAlphabetical	1	res.nGroups	2.000000
emlGroupSortAlphabetical	1	res.p.Alpha-Zebra	0.0000002
emlGroupSortAlphabetical	1	res.absd.Alpha-Zebra	7.071068
emlGroupSortAlphabetical	1	obs.signedd.Alpha-Zebra	-7.071068
emlGroupSortAlphabetical	1	dis.label.Alpha-Zebra	*** (p < .001), d = 7.07
emlGroupSortAlphabetical	1	res.posthoc	Comparison: Welch t-test
emlGroupSortAlphabetical	1	res.adjust	one comparison; no adjustment applied
emlGroupSortAlphabetical	1	dis.bracketN	1.000000
emlGroupSortAlphabetical	1	dis.matrixN	0
emlRunAnnotationComparison.testType$	parametric	res.error	
emlRunAnnotationComparison.testType$	parametric	res.omnibus	One-way ANOVA: F(2, 15) = 277.80, p < .001
emlRunAnnotationComparison.testType$	parametric	res.labels	Zebra|Mid|Alpha
emlRunAnnotationComparison.testType$	parametric	res.nGroups	3.000000
emlRunAnnotationComparison.testType$	parametric	res.p.Zebra-Mid	0.000000006
