# ============================================================================
# recorder_coverage.tsv -- which recorder site emits each public procedure.
#
# Ian Howell -- Embodied Music Lab -- GPL-3.0-or-later
#
# WHY THIS FILE EXISTS. Praat never checks a procedure name that appears
# inside a string, and the recorder decides what to emit by comparing
# strings. A rename that misses a recorder site therefore produces no error:
# the recorder stops matching and the generated user script loses a step.
# RULING_RECORDER_AND_WIRING_2026-09-02.md rules that the recorder's table
# stays hand-kept and A CHECK ASSERTS THE COPIES AGREE. This file is the
# copy; v159 section E is the check.
#
# ROWS COME FROM THE MEASURED CENSUS,
# mailbox/to-fable/REPORT_RECORDER_COVERAGE_2026-09-01.md, which Fable
# accepted in that ruling. Each row names the site that emits the procedure
# and how the census established it: 'live' means a recorded session
# produced the call, 'code-trace' means the emitting site was read.
#
# STATUS: live | code-trace | EXEMPT. An EXEMPT row is not reachable from
# the recorder and carries its reason in reason_or_site.
#
# EMITTING FILE FILLED FOR 13 DRAWING ROWS, 2 September. The census writes
# a bare ":848" for a row in the same file as the row above it, and the
# first extraction carried that shorthand through as an empty filename, so
# the check could not test those rows. The file is graphs/eml-draw-procedures.praat,
# inherited from emlDrawF0Contour; each of the 13 names was confirmed present
# in it by grep before the field was filled.
#
# THE RENAME PASS MUST UPDATE THIS FILE. A renamed procedure changes its
# registry_name here too, and section E fails until it does.
# ============================================================================
registry_name	emitting_file	emitting_line	status	reason_or_site	evidence
emlRunTwoGroupAnalysis	stats/eml-analysis.praat	460-463	live	stats/eml-analysis.praat:460-463	recorded.praat:362
emlRunAnovaAnalysis	stats/eml-analysis.praat	775	live	stats/eml-analysis.praat:775 (bespoke `@emlRecordAnova`)	recorded.praat:343
emlRunKWAnalysis	stats/eml-analysis.praat	1193	live	stats/eml-analysis.praat:1193	recorded.praat:379
emlRunTwoWayAnalysis	stats/eml-analysis.praat	2800	code-trace	stats/eml-analysis.praat:2800	Hook present; unreachable this session — see §4, a separate defect blocks the whole door before recording is reached
emlRunCorrelationAnalysis	stats/eml-analysis.praat	3218	live	stats/eml-analysis.praat:3218	recorded.praat:429
emlRunDescriptiveAnalysis	stats/eml-analysis.praat	3321	live	stats/eml-analysis.praat:3321	recorded.praat:395
emlRunRegressionAnalysis	stats/eml-analysis.praat	3466	live	stats/eml-analysis.praat:3466	recorded.praat:446
emlRunNormalityAnalysis	stats/eml-analysis.praat	4020	live	stats/eml-analysis.praat:4020	recorded.praat:411
emlRunRepeatedMeasuresAnalysis	stats/eml-analysis.praat	4777	live	stats/eml-analysis.praat:4777	recorded.praat:487
emlRunFriedmanAnalysis	stats/eml-analysis.praat	4932	live	stats/eml-analysis.praat:4932	recorded.praat:505
emlRunLMMAnalysis			GAP-but-N/A	none in stats/eml-lmm.praat	§3 — no interactive door exists today to hook
emlDrawF0Contour	graphs/eml-draw-procedures.praat	716	live	graphs/eml-draw-procedures.praat:716	recorded.praat:747
emlDrawWaveform	graphs/eml-draw-procedures.praat		live	:848	recorded.praat:728
emlDrawSpectrum	graphs/eml-draw-procedures.praat		live	:1037	recorded.praat:766
emlDrawLTAS	graphs/eml-draw-procedures.praat		live	:1313	recorded.praat:785
emlDrawTimeSeries	graphs/eml-draw-procedures.praat		live	:2339	recorded.praat:591
emlDrawTimeSeriesCI	graphs/eml-draw-procedures.praat		live	:2870	recorded.praat:610
emlDrawBarChart	graphs/eml-draw-procedures.praat		live	:3877	recorded.praat:649
emlDrawViolinPlot	graphs/eml-draw-procedures.praat		live	:4228 (call), :4245 (bespoke `@emlRecordViolin`), emits :4320	recorded.praat:527. Bespoke, same shape as @emlRecordAnova — a source comment (~line 4192) says an earlier unconditional call crashed a suite that loads the stats tree without the recorder, hence the variableExists guard
emlDrawScatterPlot	graphs/eml-draw-procedures.praat		live	:5540	recorded.praat:552
emlDrawBoxPlot	graphs/eml-draw-procedures.praat		live	:5813	recorded.praat:669
emlDrawHistogram	graphs/eml-draw-procedures.praat		live	:6440	recorded.praat:572
emlDrawGroupedViolin	graphs/eml-draw-procedures.praat		live	:6841	recorded.praat:689
emlDrawGroupedBoxPlot	graphs/eml-draw-procedures.praat		live	:7166	recorded.praat:709
emlDrawSpaghettiPlot	graphs/eml-draw-procedures.praat		live	:3496	recorded.praat:629
emlBridgeGroupComparison	graphs/eml-annotation-procedures.praat	4524-4531	live	graphs/eml-annotation-procedures.praat:4524-4531	recorded.praat:1035
emlGraphsMeltSeries	graphs/eml-graphs-form.praat	6172-6178,	code-trace	graphs/eml-graphs-form.praat:6172-6178, via `@emlRecordConvert`	Not exercised this session; source comment cites a prior measurement (harness/linetree's rec_subjects4 leg) I did not re-run
emlGraphsPivotSeries	graphs/eml-graphs-form.praat	6355-6363	code-trace	graphs/eml-graphs-form.praat:6355-6363	Mirror of #31, not exercised this session
emlCleanConvertedTable	graphs/eml-graph-procedures.praat	7920, 7938	live	graphs/eml-graph-procedures.praat:7920, 7938 (inside `@emlConvertForGraph`)	recorded.praat:969 (tor2table), :1002 (matrix2table)
emlBeginPanel	stats/eml-record.praat	1968	live	stats/eml-record.praat:1968	recorded.praat:521 and before every draw step
emlInitDrawingDefaults	stats/eml-record.praat	5050	live	stats/eml-record.praat:5050	recorded.praat:42, top of file
