v15_f0	draw	DREW	3.42/1.57%	OK
v15_shimmer	draw	DREW	3.37/1.54%	OK
v15_jitter	draw	DREW	3.27/1.50%	OK
r1_na_soft	draw	DREW	2.35/1.69%	OK
r1_na_medium	draw	DREW	2.35/1.82%	OK
r1_na_loud	draw	DREW	2.26/1.73%	OK
r2_n2	refuse	REFUSED	%	OK
r3_constant	refuse	REFUSED	%	OK
qq_na_below_3	refuse	REFUSED	%	OK
qq_n3	draw	DREW	1.82/1.47%	OK
qq_skewed	draw	DREW	3.26/1.51%	OK
qq_n10	draw	DREW	2.37/1.57%	OK
v15_f0_annot	draw	DREW	3.70/1.57%	OK
r1_na_medium_annot	draw	DREW	2.79/1.82%	OK
qq_n3_annot	draw	DREW	2.09/1.47%	OK
qq_skewed_annot	draw	DREW	3.54/1.51%	OK
