subject,jitter_pre,jitter_post,HNR_pre,HNR_post
P1,3.18911146412365,2.2885698819717075,16.72362813808144,20.720575470906788
P2,2.2738382584614523,1.4813819886495398,19.23977109829827,20.79632948167746
P3,2.07544499979463,2.077196904262622,18.476901447609887,21.923997652816002
P4,4.190975503207142,3.204903565807196,20.405170557403405,23.537497008485055
P5,2.041592843760419,0.5412806413507689,16.406510093164492,19.761164059624868
P6,3.183050470138528,2.3605513429990075,17.57406468200034,21.781226222142898
P7,2.6460444089083746,2.9276589320994306,16.074345617498505,20.401656850592836
P8,1.4549649920127161,1.0890952471350719,14.553831748584845,17.876953589408277
P9,3.8963886954609994,2.836578202555428,25.42512304994394,28.763616984940604
P10,3.7345034902822287,3.4234969973739764,16.841777013042726,17.179860849788025
P11,3.8527128632482874,2.852889882508213,19.094088207806536,23.386875766366906
P12,1.938552480913298,0.7612560944444828,19.246170570129518,21.9565765285656
P13,3.1846909793717466,2.500945095284174,23.4922413141016,25.732937591600777
P14,2.7200378107287424,2.27209239139621,7.801376790424232,8.900518126999033
P15,2.932772927484714,2.3156484676244204,17.294798409159302,22.792033665910402
P16,1.674864034971087,0.9809523483589346,19.328353724729446,23.96751705414888
P17,1.8221701411571996,0.8822505299157491,15.607444194490155,19.152842014782582
P18,1.736379992912104,0.5276728310442691,24.591902328571788,25.920170349889542
P19,2.9586846756074547,2.4497413504903665,15.290366650733363,18.15725457268765
P20,2.4050628282158133,1.5683511957202656,11.750486071991496,14.389042772174673
